src,src_pagerank,src_betweenness,src_closeness,src_triangle_count,dst,dst_pagerank,dst_betweenness,dst_closeness,weight
browser-sync-ui,0.1547222222222222,0,0.33544303797468356,2,weinre,0.17630277777777775,0,0.4411764705882353,0.2
cordova-lib,0.1682142857142857,0,0.3288201160541586,22,cordova-serve,0.15595758928571427,0,0.45081967213114754,0.041666666666666664
sails,0.15,0,0.2925824175824176,37,method-override,0.15255,0,1,0.02
sinopia,0.15,0,0.3179791976225854,7,compression,0.1882409877232143,0,0.7857142857142857,0.04
cordova-serve,0.15595758928571427,0,0.45081967213114754,1,compression,0.1882409877232143,0,0.7857142857142857,0.25
cordova-serve,0.15595758928571427,0,0.45081967213114754,1,express,0.24669344142691796,0,0.7192982456140351,0.25
weinre,0.17630277777777775,0,0.4411764705882353,0,express,0.24669344142691796,0,0.7192982456140351,0.3333333333333333
node-inspector,0.15,0,0.2731326644370123,2,express,0.24669344142691796,0,0.7192982456140351,0.06666666666666667
sinopia,0.15,0,0.3179791976225854,7,express,0.24669344142691796,0,0.7192982456140351,0.04
foxy,0.1547222222222222,0,0.3229571984435798,5,connect,0.20243226253215382,0,0.6666666666666666,0.14285714285714285
browser-sync,0.15,0,0.3109815354713314,8,connect,0.20243226253215382,0,0.6666666666666666,0.037037037037037035
karma,0.15,0,0.2646370023419204,2,connect,0.20243226253215382,0,0.6666666666666666,0.043478260869565216
skipper,0.15255,0,0.3557692307692307,7,connect,0.20243226253215382,0,0.6666666666666666,0.09090909090909091
helmet,0.15,0,0.4933333333333333,0,connect,0.20243226253215382,0,0.6666666666666666,0.09090909090909091
sinopia,0.15,0,0.3179791976225854,7,body-parser,0.21074628555253624,0,0.7037037037037037,0.04
tiny-lr,0.182416875,0,0.49019607843137253,2,body-parser,0.21074628555253624,0,0.7037037037037037,0.16666666666666666
karma,0.15,0,0.2646370023419204,2,body-parser,0.21074628555253624,0,0.7037037037037037,0.043478260869565216
mini-lr,0.17124999999999999,0,0.49019607843137253,3,body-parser,0.21074628555253624,0,0.7037037037037037,0.16666666666666666
