src,src_pagerank,src_betweenness,src_closeness,src_triangle_count,dst,dst_pagerank,dst_betweenness,dst_closeness,weight
browser-sync,0.15,0,0.3109815354713314,8,serve-index,0.1547222222222222,0,0.7647058823529411,0.037037037037037035
superagent,0.21375,0,0.625,1,form-data,0.1824398678185054,0,0.7777777777777777,0.09090909090909091
request,0.39340198363308027,0,0.46258503401360546,7,form-data,0.1824398678185054,0,0.7777777777777777,0.047619047619047616
npm,0.22980133928571428,0,0.4296482412060302,48,request,0.39340198363308027,0,0.46258503401360546,0.02
npm-registry-client,0.15390662276785713,0,0.36241610738255037,11,request,0.39340198363308027,0,0.46258503401360546,0.07692307692307693
node-gyp,0.15390662276785713,0,0.36024844720496896,14,request,0.39340198363308027,0,0.46258503401360546,0.07142857142857142
node-pre-gyp,0.3598167442376447,0,0.3614864864864865,2,request,0.39340198363308027,0,0.46258503401360546,0.1111111111111111
jsdom,0.1805019863209707,0,0.3682170542635659,4,request,0.39340198363308027,0,0.46258503401360546,0.0625
insight,0.15455357142857143,0,0.3797909407665505,7,request,0.39340198363308027,0,0.46258503401360546,0.1111111111111111
cordova-lib,0.1682142857142857,0,0.3288201160541586,22,request,0.39340198363308027,0,0.46258503401360546,0.041666666666666664
less,0.203666875,0,0.34649122807017546,0,request,0.39340198363308027,0,0.46258503401360546,0.125
localtunnel,0.1547222222222222,0,0.30670103092783507,0,request,0.39340198363308027,0,0.46258503401360546,0.25
sinopia,0.15,0,0.3179791976225854,7,request,0.39340198363308027,0,0.46258503401360546,0.04
phantomjs,0.15,0,0.3375,0,request,0.39340198363308027,0,0.46258503401360546,0.125
uncss,0.1925,0,0.3221649484536082,0,request,0.39340198363308027,0,0.46258503401360546,0.1111111111111111
phantomjs-prebuilt,0.18573836805555555,0,0.3375,0,request,0.39340198363308027,0,0.46258503401360546,0.125
request-promise,0.15,0,0.3286384976525822,0,request,0.39340198363308027,0,0.46258503401360546,0.3333333333333333
koa,0.15,0,0.7906976744186047,5,accepts,0.23918461994379206,0,1,0.043478260869565216
serve-index,0.1547222222222222,0,0.7647058823529411,1,accepts,0.23918461994379206,0,1,0.14285714285714285
compression,0.1882409877232143,0,0.7857142857142857,0,accepts,0.23918461994379206,0,1,0.16666666666666666
engine.io,0.1753285307827237,0,0.5757575757575757,1,accepts,0.23918461994379206,0,1,0.2
express,0.24669344142691796,0,0.7192982456140351,14,accepts,0.23918461994379206,0,1,0.04
express,0.24669344142691796,0,0.7192982456140351,14,type-is,0.19777546446322536,0,1,0.04
body-parser,0.21074628555253624,0,0.7037037037037037,7,type-is,0.19777546446322536,0,1,0.1
koa,0.15,0,0.7906976744186047,5,type-is,0.19777546446322536,0,1,0.043478260869565216
multer,0.15,0,0.5333333333333333,0,type-is,0.19777546446322536,0,1,0.125
compression,0.1882409877232143,0,0.7857142857142857,0,compressible,0.1766674732607887,0,2,0.16666666666666666
hapi,0.15,0,0.7073170731707318,31,mimos,0.15671052631578947,0,1.5,0.05263157894736842
accepts,0.23918461994379206,0,1,2,mime-types,0.42760102523598087,0,2,0.5
type-is,0.19777546446322536,0,1,1,mime-types,0.42760102523598087,0,2,0.5
form-data,0.1824398678185054,0,0.7777777777777777,2,mime-types,0.42760102523598087,0,2,0.3333333333333333
request,0.39340198363308027,0,0.46258503401360546,7,mime-types,0.42760102523598087,0,2,0.047619047619047616
koa,0.15,0,0.7906976744186047,5,mime-types,0.42760102523598087,0,2,0.043478260869565216
serve-index,0.1547222222222222,0,0.7647058823529411,1,mime-types,0.42760102523598087,0,2,0.14285714285714285
express,0.24669344142691796,0,0.7192982456140351,14,serve-static,0.16565979923073743,0,0.5483870967741935,0.04
sails,0.15,0,0.2925824175824176,37,serve-static,0.16565979923073743,0,0.5483870967741935,0.02
browser-sync,0.15,0,0.3109815354713314,8,serve-static,0.16565979923073743,0,0.5483870967741935,0.037037037037037035
send,0.20532100843501985,0,0.9375,11,http-errors,0.27798105725612343,0,1.5,0.08333333333333333
http-assert,0.15554347826086956,0,0.8333333333333334,1,http-errors,0.27798105725612343,0,1.5,0.5
koa,0.15,0,0.7906976744186047,5,http-errors,0.27798105725612343,0,1.5,0.043478260869565216
serve-index,0.1547222222222222,0,0.7647058823529411,1,http-errors,0.27798105725612343,0,1.5,0.14285714285714285
body-parser,0.21074628555253624,0,0.7037037037037037,7,http-errors,0.27798105725612343,0,1.5,0.1
sinopia,0.15,0,0.3179791976225854,7,http-errors,0.27798105725612343,0,1.5,0.04
serve-static,0.16565979923073743,0,0.5483870967741935,5,send,0.20532100843501985,0,0.9375,0.3333333333333333
express,0.24669344142691796,0,0.7192982456140351,14,send,0.20532100843501985,0,0.9375,0.04
express,0.24669344142691796,0,0.7192982456140351,14,finalhandler,0.2014044327965979,0,0.875,0.04
connect,0.20243226253215382,0,0.6666666666666666,3,finalhandler,0.2014044327965979,0,0.875,0.25
express,0.24669344142691796,0,0.7192982456140351,14,on-finished,0.28060826579369447,0,2,0.04
finalhandler,0.2014044327965979,0,0.875,4,on-finished,0.28060826579369447,0,2,0.25
send,0.20532100843501985,0,0.9375,11,on-finished,0.28060826579369447,0,2,0.08333333333333333
koa,0.15,0,0.7906976744186047,5,on-finished,0.28060826579369447,0,2,0.043478260869565216
multer,0.15,0,0.5333333333333333,0,on-finished,0.28060826579369447,0,2,0.125
body-parser,0.21074628555253624,0,0.7037037037037037,7,on-finished,0.28060826579369447,0,2,0.1
morgan,0.15,0,0.8888888888888888,0,on-finished,0.28060826579369447,0,2,0.2
node-inspector,0.15,0,0.2731326644370123,2,serve-favicon,0.16105,0,1.25,0.06666666666666667
sails,0.15,0,0.2925824175824176,37,serve-favicon,0.16105,0,1.25,0.02
broccoli-merge-trees,0.17486249999999998,0,0.4054054054054054,4,debug,1.7505026355736675,5,2,0.14285714285714285
broccoli-persistent-filter,0.2067375,1,0.46835443037974683,10,debug,1.7505026355736675,5,2,0.07142857142857142
async-disk-cache,0.16255191964285712,0,0.39534883720930236,3,debug,1.7505026355736675,5,2,0.25
babel-core,0.2064267983195448,0,0.5188679245283019,32,debug,1.7505026355736675,5,2,0.047619047619047616
i18n,0.15255,0,0.3644859813084112,1,debug,1.7505026355736675,5,2,0.16666666666666666
tiny-lr,0.182416875,0,0.49019607843137253,2,debug,1.7505026355736675,5,2,0.16666666666666666
nock,0.15,0,0.7777777777777777,0,debug,1.7505026355736675,5,2,0.125
express,0.24669344142691796,0,0.7192982456140351,14,debug,1.7505026355736675,5,2,0.04
finalhandler,0.2014044327965979,0,0.875,4,debug,1.7505026355736675,5,2,0.25
send,0.20532100843501985,0,0.9375,11,debug,1.7505026355736675,5,2,0.08333333333333333
mini-lr,0.17124999999999999,0,0.49019607843137253,3,debug,1.7505026355736675,5,2,0.16666666666666666
gulp-livereload,0.15,0,0.2791762013729977,2,debug,1.7505026355736675,5,2,0.16666666666666666
stylus,0.15,0,0.4444444444444444,0,debug,1.7505026355736675,5,2,0.16666666666666666
extract-zip,0.18567220160590275,0,0.5,0,debug,1.7505026355736675,5,2,0.25
eslint,0.15,0,0.4568345323741007,8,debug,1.7505026355736675,5,2,0.03125
engine.io-client,0.16497611857184682,0,0.6578947368421053,4,debug,1.7505026355736675,5,2,0.08333333333333333
socket.io-adapter,0.1753285307827237,0,0.5555555555555556,3,debug,1.7505026355736675,5,2,0.5
engine.io,0.1753285307827237,0,0.5757575757575757,1,debug,1.7505026355736675,5,2,0.2
socket.io-client,0.19385245935415227,1,0.5223880597014925,10,debug,1.7505026355736675,5,2,0.09090909090909091
mocha,0.15,0,0.24619289340101524,2,debug,1.7505026355736675,5,2,0.1111111111111111
mquery,0.160625,0,1,2,debug,1.7505026355736675,5,2,0.25
body-parser,0.21074628555253624,0,0.7037037037037037,7,debug,1.7505026355736675,5,2,0.1
connect,0.20243226253215382,0,0.6666666666666666,3,debug,1.7505026355736675,5,2,0.25
pm2-axon-rpc,0.1553125,0,0.8571428571428571,2,debug,1.7505026355736675,5,2,0.3333333333333333
array-index,0.28537266964285707,5,0.6363636363636364,0,debug,1.7505026355736675,5,2,0.5
pmx,0.1553125,0,1,1,debug,1.7505026355736675,5,2,0.5
pm2-axon,0.1553125,0,1,2,debug,1.7505026355736675,5,2,0.2
tar-pack,0.18398269251133312,0,0.5185185185185185,5,debug,1.7505026355736675,5,2,0.125
pm2,0.15,0,0.2524682651622003,7,debug,1.7505026355736675,5,2,0.041666666666666664
socket.io-parser,0.26480063185687097,4.5,0.8181818181818181,6,debug,1.7505026355736675,5,2,0.2
socket.io,0.17878962905452034,0,0.43,8,debug,1.7505026355736675,5,2,0.16666666666666666
node-inspector,0.15,0,0.2731326644370123,2,debug,1.7505026355736675,5,2,0.06666666666666667
win-detect-browsers,0.17070901041666664,0,0.33891213389121344,1,debug,1.7505026355736675,5,2,0.08333333333333333
superagent,0.21375,0,0.625,1,debug,1.7505026355736675,5,2,0.09090909090909091
koa,0.15,0,0.7906976744186047,5,debug,1.7505026355736675,5,2,0.043478260869565216
skipper-disk,0.16178795454545455,0,0.3508771929824561,3,debug,1.7505026355736675,5,2,0.25
skipper,0.15255,0,0.3557692307692307,7,debug,1.7505026355736675,5,2,0.09090909090909091
machine,0.22162266964285712,0,1,3,debug,1.7505026355736675,5,2,0.16666666666666666
method-override,0.15255,0,1,1,debug,1.7505026355736675,5,2,0.25
nodemon,0.15,0,0.23227917121046893,0,debug,1.7505026355736675,5,2,0.1
yeoman-environment,0.17688790051523567,0,0.39673913043478265,16,debug,1.7505026355736675,5,2,0.08333333333333333
yeoman-generator,0.16865946821036107,0,0.2731122088920254,26,debug,1.7505026355736675,5,2,0.02564102564102564
compression,0.1882409877232143,0,0.7857142857142857,0,debug,1.7505026355736675,5,2,0.16666666666666666
serve-index,0.1547222222222222,0,0.7647058823529411,1,debug,1.7505026355736675,5,2,0.14285714285714285
resp-modifier,0.1735099206349206,0,0.5833333333333334,1,debug,1.7505026355736675,5,2,0.5
localtunnel,0.1547222222222222,0,0.30670103092783507,0,debug,1.7505026355736675,5,2,0.25
morgan,0.15,0,0.8888888888888888,0,debug,1.7505026355736675,5,2,0.2
spdy,0.156375,0,0.5,1,debug,1.7505026355736675,5,2,0.2
spdy-transport,0.17658374999999998,0,0.6666666666666666,4,debug,1.7505026355736675,5,2,0.2
express-session,0.15,0,0.8666666666666667,0,debug,1.7505026355736675,5,2,0.1111111111111111
babel-traverse,0.6299613836312564,0,0.5192307692307693,46,debug,1.7505026355736675,5,2,0.1
gm,0.15,0,1,0,debug,1.7505026355736675,5,2,0.3333333333333333
retry-as-promised,0.15796875,0,1,1,debug,1.7505026355736675,5,2,0.5
broccoli-funnel,0.20036249999999997,0,0.49253731343283585,6,debug,1.7505026355736675,5,2,0.08333333333333333
fs-tree-diff,0.1979775669642857,0,0.8333333333333334,5,debug,1.7505026355736675,5,2,0.5
supertest,0.15,0,0.40625,1,superagent,0.21375,0,0.625,0.5
http-server,0.15,0,0.6451612903225806,0,ecstatic,0.1659375,0,1.25,0.125
grunt-contrib-less,0.15255,0,0.2898550724637681,2,less,0.203666875,0,0.34649122807017546,0.25
gulp-less,0.15,0,0.2746268656716418,2,less,0.203666875,0,0.34649122807017546,0.16666666666666666
koa,0.15,0,0.7906976744186047,5,http-assert,0.15554347826086956,0,0.8333333333333334,0.043478260869565216
spdy-transport,0.17658374999999998,0,0.6666666666666666,4,hpack.js,0.18001923749999998,0,0.6875,0.2
node-libs-browser,0.1585,0,0.504,4,http-browserify,0.15585760869565218,0,1.5,0.043478260869565216
fullname,0.15455357142857143,0,0.3684210526315789,2,npmconf,0.18284263392857145,0,0.7619047619047619,0.25
transformers,0.16395416666666668,0,0.2529182879377432,1,css,0.34858331597222214,4,0.8,0.25
css-parse,0.17124999999999999,0,0.5,0,css,0.34858331597222214,4,0.8,1
uncss,0.1925,0,0.3221649484536082,0,css,0.34858331597222214,4,0.8,0.1111111111111111
tar-pack,0.18398269251133312,0,0.5185185185185185,5,fstream-ignore,0.1695466090237093,0,0.4,0.125
browserify-des,0.19638236899503325,2,1,2,des.js,0.20562154573311747,0,1.5,0.3333333333333333
elliptic,0.2394517116332784,0,1.25,4,hash.js,0.20088348872207168,0,2,0.25
parse-asn1,0.19770757953774848,0,0.6666666666666666,5,asn1.js,0.18359786822386676,0.3333333333333333,1.3333333333333333,0.2
browserify-des,0.19638236899503325,2,1,2,cipher-base,0.38541201055362756,0,2,0.3333333333333333
browserify-aes,0.2299802372189,2.833333333333333,0.8888888888888888,7,cipher-base,0.38541201055362756,0,2,0.2
create-hash,0.66208858585081,4.833333333333333,1.25,16,cipher-base,0.38541201055362756,0,2,0.25
nodemon,0.15,0,0.23227917121046893,0,chokidar,0.28256248619737745,9,0.24506578947368418,0.1
karma,0.15,0,0.2646370023419204,2,chokidar,0.28256248619737745,9,0.24506578947368418,0.043478260869565216
forever-monitor,0.1585,0,0.21862871927554983,1,chokidar,0.28256248619737745,9,0.24506578947368418,0.2
pm2,0.15,0,0.2524682651622003,7,chokidar,0.28256248619737745,9,0.24506578947368418,0.041666666666666664
watchify,0.15,0,0.2550813008130081,5,chokidar,0.28256248619737745,9,0.24506578947368418,0.14285714285714285
gulp-watch,0.15,0,0.2418655097613883,5,chokidar,0.28256248619737745,9,0.24506578947368418,0.1111111111111111
watchpack,0.1585,0,0.20134228187919462,1,chokidar,0.28256248619737745,9,0.24506578947368418,0.3333333333333333
browser-sync,0.15,0,0.3109815354713314,8,chokidar,0.28256248619737745,9,0.24506578947368418,0.037037037037037035
parse-asn1,0.19770757953774848,0,0.6666666666666666,5,browserify-aes,0.2299802372189,2.833333333333333,0.8888888888888888,0.2
browserify-cipher,0.16370247880599975,0,0.5454545454545455,1,browserify-aes,0.2299802372189,2.833333333333333,0.8888888888888888,0.3333333333333333
browserify-cipher,0.16370247880599975,0,0.5454545454545455,1,browserify-des,0.19638236899503325,2,1,0.3333333333333333
crypto-browserify,0.16129721510237707,0,0.5490196078431373,11,browserify-sign,0.16370247880599975,0,0.6060606060606061,0.1
browserify-sign,0.16370247880599975,0,0.6060606060606061,10,elliptic,0.2394517116332784,0,1.25,0.14285714285714285
create-ecdh,0.16370247880599975,0,0.75,1,elliptic,0.2394517116332784,0,1.25,0.5
browserify,0.30077823660714287,47,0.5288888888888889,49,crypto-browserify,0.16129721510237707,0,0.5490196078431373,0.02127659574468085
node-libs-browser,0.1585,0,0.504,4,crypto-browserify,0.16129721510237707,0,0.5490196078431373,0.043478260869565216
browserify-sign,0.16370247880599975,0,0.6060606060606061,10,create-hmac,0.3512563789318281,2,0.75,0.14285714285714285
crypto-browserify,0.16129721510237707,0,0.5490196078431373,11,create-hmac,0.3512563789318281,2,0.75,0.1
pbkdf2,0.1973003470298665,1,0.5,1,create-hmac,0.3512563789318281,2,0.75,1
parse-asn1,0.19770757953774848,0,0.6666666666666666,5,create-hash,0.66208858585081,4.833333333333333,1.25,0.2
public-encrypt,0.16370247880599975,0,0.5666666666666667,5,create-hash,0.66208858585081,4.833333333333333,1.25,0.2
browserify-aes,0.2299802372189,2.833333333333333,0.8888888888888888,7,create-hash,0.66208858585081,4.833333333333333,1.25,0.2
create-hmac,0.3512563789318281,2,0.75,7,create-hash,0.66208858585081,4.833333333333333,1.25,0.5
crypto-browserify,0.16129721510237707,0,0.5490196078431373,11,create-hash,0.66208858585081,4.833333333333333,1.25,0.1
browserify-sign,0.16370247880599975,0,0.6060606060606061,10,create-hash,0.66208858585081,4.833333333333333,1.25,0.14285714285714285
evp_bytestokey,0.2690768775461131,0,0.6666666666666666,4,create-hash,0.66208858585081,4.833333333333333,1.25,1
browserify,0.30077823660714287,47,0.5288888888888889,49,stream-http,0.1554396064067249,0,1.25,0.02127659574468085
cordova-js,0.15595758928571427,0,0.3488372093023256,0,browserify,0.30077823660714287,47,0.5288888888888889,1
watchify,0.15,0,0.2550813008130081,5,browserify,0.30077823660714287,47,0.5288888888888889,0.14285714285714285
browserify,0.30077823660714287,47,0.5288888888888889,49,labeled-stream-splicer,0.1554396064067249,0,0.5294117647058824,0.02127659574468085
labeled-stream-splicer,0.1554396064067249,0,0.5294117647058824,3,stream-splicer,0.194015273556231,0,0.6666666666666666,0.3333333333333333
browserify,0.30077823660714287,47,0.5288888888888889,49,module-deps,0.1554396064067249,0,0.7222222222222222,0.02127659574468085
create-hash,0.66208858585081,4.833333333333333,1.25,16,sha.js,0.3707813111360592,0,2,0.25
shasum,0.18845106157389818,0,0.8333333333333334,1,sha.js,0.3707813111360592,0,2,0.5
node-libs-browser,0.1585,0,0.504,4,stream-browserify,0.16129721510237707,0,0.6666666666666666,0.043478260869565216
browserify,0.30077823660714287,47,0.5288888888888889,49,stream-browserify,0.16129721510237707,0,0.6666666666666666,0.02127659574468085
node-libs-browser,0.1585,0,0.504,4,util,0.3979018967063305,1,2,0.043478260869565216
path,0.15,0,1,0,util,0.3979018967063305,1,2,0.5
browserify,0.30077823660714287,47,0.5288888888888889,49,util,0.3979018967063305,1,2,0.02127659574468085
assert,0.16129721510237707,0,1,2,util,0.3979018967063305,1,2,1
sinon,0.16865946821036107,0,1,1,util,0.3979018967063305,1,2,0.25
win-detect-browsers,0.17070901041666664,0,0.33891213389121344,1,duplexify,0.2149852401008805,0,0.611111111111111,0.08333333333333333
ternary-stream,0.19651388888888888,2,0.47058823529411764,1,duplexify,0.2149852401008805,0,0.611111111111111,0.25
vinyl-fs,0.2226968472671534,9.566666666666666,0.3722943722943723,16,duplexify,0.2149852401008805,0,0.611111111111111,0.058823529411764705
browserify,0.30077823660714287,47,0.5288888888888889,49,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.02127659574468085
decompress,0.2228103390870871,3,0.3,0,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.1111111111111111
download,0.23622654648562502,0,0.2627906976744186,9,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.06666666666666667
spawn-sync,0.21530813873626373,2,0.4782608695652174,0,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.5
imagemin,0.1682142857142857,0,0.19290020093770932,4,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.1
win-detect-browsers,0.17070901041666664,0,0.33891213389121344,1,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.08333333333333333
geojsonhint,0.1972644861111111,0,0.489795918367347,0,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.2
extract-zip,0.18567220160590275,0,0.5,0,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.25
npm-registry-client,0.15390662276785713,0,0.36241610738255037,11,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.07692307692307693
module-deps,0.1554396064067249,0,0.7222222222222222,22,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.07142857142857142
insert-module-globals,0.1554396064067249,0,0.5306122448979592,6,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.125
eslint,0.15,0,0.4568345323741007,8,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.03125
multer,0.15,0,0.5333333333333333,0,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.125
base64url,0.29749270833333336,12,0.2994350282485876,1,concat-stream,0.5630838993954351,9.2,0.6923076923076923,0.5
rimraf,0.9438249473075953,2,0.43999999999999995,15,glob,1.6996014110138375,15,0.6666666666666666,1
node-gyp,0.15390662276785713,0,0.36024844720496896,14,glob,1.6996014110138375,15,0.6666666666666666,0.07142857142857142
read-package-json,0.2153117934151786,0,0.4363636363636364,5,glob,1.6996014110138375,15,0.6666666666666666,0.25
uncss,0.1925,0,0.3221649484536082,0,glob,1.6996014110138375,15,0.6666666666666666,0.1111111111111111
accord,0.17124999999999999,0,0.27237354085603116,2,glob,1.6996014110138375,15,0.6666666666666666,0.1111111111111111
tape,0.15,0,0.49180327868852464,4,glob,1.6996014110138375,15,0.6666666666666666,0.08333333333333333
fileset,0.15910714285714284,0,0.5238095238095238,1,glob,1.6996014110138375,15,0.6666666666666666,0.5
broccoli-kitchen-sink-helpers,0.23163648549107144,0,0.4642857142857143,2,glob,1.6996014110138375,15,0.6666666666666666,0.5
sails,0.15,0,0.2925824175824176,37,glob,1.6996014110138375,15,0.6666666666666666,0.02
globule,0.30505434375,3,0.5454545454545455,1,glob,1.6996014110138375,15,0.6666666666666666,0.3333333333333333
eslint,0.15,0,0.4568345323741007,8,glob,1.6996014110138375,15,0.6666666666666666,0.03125
gulp-useref,0.15,0,0.28200972447325773,5,glob,1.6996014110138375,15,0.6666666666666666,0.1111111111111111
stylus,0.15,0,0.4444444444444444,0,glob,1.6996014110138375,15,0.6666666666666666,0.16666666666666666
gulp-watch,0.15,0,0.2418655097613883,5,glob,1.6996014110138375,15,0.6666666666666666,0.1111111111111111
init-package-json,0.15595758928571427,0,0.484375,5,glob,1.6996014110138375,15,0.6666666666666666,0.125
cordova-lib,0.1682142857142857,0,0.3288201160541586,22,glob,1.6996014110138375,15,0.6666666666666666,0.041666666666666664
yeoman-generator,0.16865946821036107,0,0.2731122088920254,26,glob,1.6996014110138375,15,0.6666666666666666,0.02564102564102564
cordova-common,0.17417187499999998,0,0.5769230769230769,13,glob,1.6996014110138375,15,0.6666666666666666,0.08333333333333333
messageformat,0.17161125,0,0.463768115942029,1,glob,1.6996014110138375,15,0.6666666666666666,0.2
grunt-sync,0.15255,0,0.5,2,glob,1.6996014110138375,15,0.6666666666666666,0.25
cli,0.17045312499999998,0,0.46153846153846156,1,glob,1.6996014110138375,15,0.6666666666666666,0.5
node-inspector,0.15,0,0.2731326644370123,2,glob,1.6996014110138375,15,0.6666666666666666,0.06666666666666667
yamljs,0.1553125,0,0.4642857142857143,0,glob,1.6996014110138375,15,0.6666666666666666,0.5
grunt,0.15255,0,0.2909930715935335,9,glob,1.6996014110138375,15,0.6666666666666666,0.0625
glob-stream,0.1611341504741444,0,0.4013157894736842,1,glob,1.6996014110138375,15,0.6666666666666666,0.125
browserify,0.30077823660714287,47,0.5288888888888889,49,glob,1.6996014110138375,15,0.6666666666666666,0.02127659574468085
globby,0.19936065385420243,0,0.5294117647058824,4,glob,1.6996014110138375,15,0.6666666666666666,0.16666666666666666
mem-fs-editor,0.1536748608763032,0,0.4936708860759494,6,glob,1.6996014110138375,15,0.6666666666666666,0.1
mocha,0.15,0,0.24619289340101524,2,glob,1.6996014110138375,15,0.6666666666666666,0.1111111111111111
karma,0.15,0,0.2646370023419204,2,glob,1.6996014110138375,15,0.6666666666666666,0.043478260869565216
download,0.23622654648562502,0,0.2627906976744186,9,readable-stream,3.960821731751416,85,1.1666666666666667,0.06666666666666667
read-all-stream,0.18414031931819377,0,0.625,1,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
gulp-decompress,0.16338107531552193,0,0.24581724581724584,1,readable-stream,3.960821731751416,85,1.1666666666666667,0.25
vinyl-assign,0.1710431986915582,0.2,0.6428571428571428,0,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
mongodb,0.160625,0,0.5599999999999999,0,readable-stream,3.960821731751416,85,1.1666666666666667,0.3333333333333333
htmlparser2,0.2761684238209707,0,0.6842105263157895,3,readable-stream,3.960821731751416,85,1.1666666666666667,0.2
log4js,0.15554347826086956,0,0.6428571428571428,0,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
mysql,0.15,0,0.6428571428571428,0,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
module-deps,0.1554396064067249,0,0.7222222222222222,22,readable-stream,3.960821731751416,85,1.1666666666666667,0.07142857142857142
stream-splicer,0.194015273556231,0,0.6666666666666666,2,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
readdirp,0.1766864570297523,0,0.5652173913043479,0,readable-stream,3.960821731751416,85,1.1666666666666667,0.3333333333333333
tar-pack,0.18398269251133312,0,0.5185185185185185,5,readable-stream,3.960821731751416,85,1.1666666666666667,0.125
stream-browserify,0.16129721510237707,0,0.6666666666666666,4,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
browserify,0.30077823660714287,47,0.5288888888888889,49,readable-stream,3.960821731751416,85,1.1666666666666667,0.02127659574468085
read-only-stream,0.1554396064067249,0,0.6153846153846154,1,readable-stream,3.960821731751416,85,1.1666666666666667,1
stream-combiner2,0.2081543326262725,6.2,0.6428571428571428,5,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
ordered-read-streams,0.16711500293767648,0,0.6428571428571428,0,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
lazystream,0.1611341504741444,0,0.6153846153846154,1,readable-stream,3.960821731751416,85,1.1666666666666667,1
duplexer2,0.4127246084358342,7,0.6153846153846154,5,readable-stream,3.960821731751416,85,1.1666666666666667,1
duplexify,0.2149852401008805,0,0.611111111111111,2,readable-stream,3.960821731751416,85,1.1666666666666667,0.3333333333333333
first-chunk-stream,0.2311157813343214,0,0.6153846153846154,0,readable-stream,3.960821731751416,85,1.1666666666666667,1
through2,1.4117522194542396,13,0.6428571428571428,34,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
merge-stream,0.2149852401008805,0,0.6153846153846154,1,readable-stream,3.960821731751416,85,1.1666666666666667,1
vinyl-fs,0.2226968472671534,9.566666666666666,0.3722943722943723,16,readable-stream,3.960821731751416,85,1.1666666666666667,0.058823529411764705
npm,0.22980133928571428,0,0.4296482412060302,48,readable-stream,3.960821731751416,85,1.1666666666666667,0.02
bl,0.2125022868658525,0,0.6153846153846154,1,readable-stream,3.960821731751416,85,1.1666666666666667,1
concat-stream,0.5630838993954351,9.2,0.6923076923076923,9,readable-stream,3.960821731751416,85,1.1666666666666667,0.3333333333333333
are-we-there-yet,0.20872772611364832,0,0.6428571428571428,0,readable-stream,3.960821731751416,85,1.1666666666666667,0.5
