src,src_community,dst,dst_community,weight
public-encrypt,0,create-hash,0,0.2
browserify-aes,0,create-hash,0,0.2
parse-asn1,0,create-hash,0,0.2
evp_bytestokey,0,create-hash,0,1
create-hmac,0,create-hash,0,0.5
create-hash,0,ripemd160,124,0.25
browserify-des,0,cipher-base,0,0.3333333333333333
browserify-aes,0,cipher-base,0,0.2
create-hash,0,cipher-base,0,0.25
browserify-cipher,0,evp_bytestokey,0,0.3333333333333333
browserify-aes,0,evp_bytestokey,0,0.2
parse-asn1,0,evp_bytestokey,0,0.2
browserify-cipher,0,browserify-aes,0,0.3333333333333333
parse-asn1,0,browserify-aes,0,0.2
browserify-aes,0,buffer-xor,125,0.2
parse-asn1,0,asn1.js,0,0.2
des.js,0,minimalistic-assert,0,0.5
asn1.js,0,minimalistic-assert,0,0.3333333333333333
browserify-sign,0,bn.js,0,0.14285714285714285
create-ecdh,0,bn.js,0,0.5
elliptic,0,bn.js,0,0.25
diffie-hellman,0,bn.js,0,0.3333333333333333
miller-rabin,0,bn.js,0,0.5
public-encrypt,0,bn.js,0,0.2
browserify-rsa,0,bn.js,0,0.5
asn1.js,0,bn.js,0,0.3333333333333333
browserify-sign,0,browserify-rsa,0,0.14285714285714285
public-encrypt,0,browserify-rsa,0,0.2
crypto-browserify,0,diffie-hellman,0,0.1
diffie-hellman,0,miller-rabin,0,0.3333333333333333
elliptic,0,brorand,0,0.25
miller-rabin,0,brorand,0,0.5
crypto-browserify,0,create-ecdh,0,0.1
browserify-sign,0,elliptic,0,0.14285714285714285
create-ecdh,0,elliptic,0,0.5
elliptic,0,hash.js,0,0.25
crypto-browserify,0,browserify-sign,0,0.1
crypto-browserify,0,browserify-cipher,0,0.1
browserify-cipher,0,browserify-des,0,0.3333333333333333
browserify-des,0,des.js,0,0.3333333333333333
browserify,0,constants-browserify,126,0.02127659574468085
browserify,0,console-browserify,127,0.02127659574468085
console-browserify,127,date-now,127,1
browserify,0,buffer,128,0.02127659574468085
buffer,128,ieee754,129,0.3333333333333333
buffer,128,base64-js,128,0.3333333333333333
browserify,0,browserify-zlib,130,0.02127659574468085
browserify-zlib,130,pako,130,1
browserify,0,browser-pack,26,0.02127659574468085
browser-pack,26,umd,26,0.2
browserify,0,assert,0,0.02127659574468085
pm2,6,ikt,131,0.041666666666666664
pm2,6,source-map-support,116,0.041666666666666664
pm2,6,yamljs,0,0.041666666666666664
js-yaml,150,argparse,0,0.5
yamljs,0,argparse,0,0.5
underscore.string,27,sprintf-js,0,0.5
argparse,0,sprintf-js,0,1
pm2,6,shelljs,132,0.041666666666666664
pm2,6,pm2-multimeter,133,0.041666666666666664
pm2-multimeter,133,charm,133,1
pm2,6,pm2-deploy,134,0.041666666666666664
pm2-deploy,134,tv4,134,0.5
pm2,6,pm2-axon-rpc,6,0.041666666666666664
pm2,6,pm2-axon,135,0.041666666666666664
amp-message,135,amp,135,1
pm2-axon,135,amp,135,0.2
pm2-axon,135,amp-message,135,0.2
pm2-axon,135,escape-regexp,136,0.2
pm2-axon,135,configurable,137,0.2
pm2,6,vizion,79,0.041666666666666664
pm2,6,pmx,6,0.041666666666666664
pm2,6,pidusage,138,0.041666666666666664
pm2,6,nssocket,139,0.041666666666666664
nssocket,139,lazy,139,0.5
grunt,0,eventemitter2,140,0.0625
pm2,6,eventemitter2,140,0.041666666666666664
nssocket,139,eventemitter2,140,0.5
moment-timezone,141,moment,141,1
pm2,6,moment,141,0.041666666666666664
pm2,6,cron,141,0.041666666666666664
cron,141,moment-timezone,141,1
grunt,0,coffee-script,6,0.0625
pm2,6,coffee-script,6,0.041666666666666664
pm2,6,cli-table,79,0.041666666666666664
grunt-legacy-log,79,colors,79,0.2
grunt-legacy-log-utils,79,colors,79,0.3333333333333333
cli-table,79,colors,79,1
pm2,6,chokidar,0,0.041666666666666664
chokidar,0,fsevents,0,0.1111111111111111
